id,Composer,Title,Publisher,Comment,OCLC,Classification
80,"Arensky, Anton, 1861-1906.","Quartett für Violine, Viola, und zwei Violoncelli : Opus 35 ","Verlag Walter Wollenweber, Munich, 1980.", Four parts in paper sleeve. Heavy bowmarkings in the violoncello II part.,7871021,A7 4tet op. 35
943,"Arensky, Anton, 1861-1906.","Quatuor (la mineur) pour violon, alto et deux violoncelles, op. 35 ","P. Jurgenson, Moscou, ."," Photocopies of parts in file folder. No originals. No score. ""A la mémoire de P. Tschaïkowsky""--Page [3]. The second movement consists of variations on a theme by Tchaikovsky.",21744600,A7 4tet op. 35
713,"Arensky, Anton, 1861-1906.","Trio in D minor, opus 32, for violin, cello, and piano ","International Music Company, New York City, ."," Score and two parts. Good conditon. Minor tear on cover. Filed with this item are two additional parts (violine/violoncello) of this piece from a different publisher (Edition Peters Nr. 4315, 10756)",1440016,A7 3tet op. 32
1082,"Arensky, Anton, 1861-1906.","Trio in f-Moll für Klavier, Violine und Violoncello, op. 73 = Trio in F minor for piano, violin, and violoncello, op. 73 ","W. Wollenweber, München-Gräfelfing, ."," Photocopies of score and parts are stored in a file folder. No originals. ""Unbekannte Werke der Klassik und Romantik ; 172.""",25093140,A7 3tet op.73
81,"Arkhimandritov, Boris.","Kvartet dlia dvukh skripok, al’ta i violoncheli : partitura I golosa = Quartet for two violins, viola, and violoncello : score and parts ","Sov. Kompozitor, Leningrad, 1981.", Four parts and score. Very good condition.,10267749,A75 4tet
950,"Arnold, Malcolm.","Oboe quartet, op. 61 : for oboe, violin, viola, and cello ","Faber Music, London, .", Photocopies of score and parts only. No originals.,1469073,A76 4tet op. 61
1138,"Asia, Daniel, 1953-.",A Lament. Daniel Asia,", ."," Score is spiral bound with clear cover. Cello part is is paper sleeve.  Appears to be a self-published editionk, possibly from the composer. Former title of ""Lamentations"" is crossed out.",,A8 2tet Lame
917,"Aubert, Jacques, 1689-1753.","Les petits concerts : opus 16 : leichte Duos für Altblockflöten (Querflöten, Oboen, Violinen oder andere Melodieinstrumente) : IV-VI ","Heinrichshofen, Wilhelmshaven, .", 15 page score. Good condition. [Edited by] Jost Harf.,205587769,A9 2tet op. 16
518,"Bach, Carl Philipp Emanuel, 1714-1788.","Concerto no. 3, in A major, for cello and piano","International Music Company, New York City, ."," Score and part. Very good condition. Some light yellowing of the paper at edges. [Transcribed by] Gaspar Cassado. The piano part is a reduction of the full orchestra arrangement of the original string orchestra acc./ ""The tonality has been changed by [Cassado] from A major to F major.""",966117,B2 2tet CON A-Maj
235,"Bach, Carl Philipp Emanuel, 1714-1788.","Sonate D-Dur, für Gambe und unbezifferten Bass. Ausgabe für Violoncello (Violine) und Klavier, bearbeitet von Paul Klengel","Breitkopf & Härtel, Leipzig, ."," Score and part in paper sleeve. Yellowing of paper. Sleeve is torn completely at the fold. No bowmarkings. Fingersatz u. Bogenstrichbezeichnung von Julius Klengel. Ausgabe für Violoncello (Violine) und Klavier, bearbeitet von Paul Klengel.",2379455,B2 2tet SON D-Maj
193,"Bach, Johann Sebastian, 1685-1750.",3 sonatas (originally composed for viola da gamba) for cello (or viola) and piano ,"International Music Company, New York City, ."," Score only (cello part missing). Poor condition. Sleeve is missing back. Pages are falling out of the fold binding. Cover indicates that part is edited by J. Klengel, but score does not have that designation.",17709518,B3 2tet SON BWV 1027-1029 I5
31,"Bach, Johann Sebastian, 1685-1750.","15 terzetti (after 3-part inventions), for violin, viola, and cello","International Music Company, New York, .", Three parts in paper sleeve. Excellent condition. Transcribed byt Richard Hofmann.,51513862,B3 3tet I5
159,"Bach, Johann Sebastian, 1685-1750.",3 sonatas (originally composed for viola da gamba) for cello (or viola) and piano ,"International Music Company, New York City, ."," Score and one part. Score in good condition. Cello part in poor condition. Yellowing, tears at fold which have been repaired with scotch tape.",17709518,B3 2tet SON BWV 1027-1029 I5
1165,"Bach, Johann Sebastian, 1685-1750.",6 Solo-Suiten für Violoncello ,"Edition Kunzelmann, Adliswil/ZH, ."," Suite 6 only. 12 page part in sleeve. Excellent condition. Johann Sebastian Bach ; herausgegeben von Werner Thomas-Mifune. ""Edited from 4 early 18th-century sources."" ""To make linear and polyphonic structures clearer … the edition was produced in two-color print""--Page 3 of cover.""",41120307,B3 SOLO SUI BWV 1007-1012 K86
303,"Bach, Johann Sebastian, 1685-1750.",6 suites a violoncello solo senza basso = Szesc suit na wiolonczele solo = Sechs Suiten für Violoncello allein = Six suites for violoncello solo ,"Polskie Wydawn. Muzyczne, Kraków, ."," 112 page book. Fair condition. Cover and binding is tearing and has a packing tape repair. ""Editor's note"" in Polish and English./ Contains facsimile reproduction of the original ms. In the collection of the Staatsbibliothek, Preussischer Kulturbesitz, Musikabteilung, Berlin, ref. no. Mus. Ms. Bach P 269. Modern ed. And facsims. Printed on alternate pages.",21452102,B3 SOLO SUI BWV 1007-1012 P65
309,"Bach, Johann Sebastian, 1685-1750.","6 suites a violoncello solo senza basso, BWV 1007-1012 ","Bärenreiter, Kassel, ."," 89 page book, accompanied by a ""text version"" and 5 manuscript versions in paper folding sleeve. Excellent condition. Herausgegeben von Bettina Schwemer, Douglas Woodfull-Harris.",44857221,B3 SOLO SUI BWV 1007-1012 B37
294,"Bach, Johann Sebastian, 1685-1750.","6 Suites, Violoncello solo ","Edition Reinhardt,, München, ."," Booklet, 37 pages of unnumbered music. Good condition. Verkleinerte Faksimile-ausg. / nach der Handschrift von Anna Magdalena Bach.",18857037,B3 SOLO SUI BWV 1007-1012 R45
1092,"Bach, Johann Sebastian, 1685-1750.",Adagio : from the Toccata in C major for organ ,"C. Fischer, New York, .", Score and part stored without sleeve. Poor condition. Paper is yellowed and heavily tattered. Johann Sebastian Bach ; transcribed by A. Siloti ; cello part revised by Pablo Casals.,3639643,B3 2tet ADA
430,"Bach, Johann Sebastian, 1685-1750.","Air : aus der Orchester-Suite Nr. 3, D-Dur ","Doblinger, Wien, .", Score and part. Good condition. [bearbeitet] für Flöte (Blockflöte) und Klavier (Orgel) [von] Bert Mayer.,13797311,B3 2tet AIR BWV 1068
563,"Bach, Johann Sebastian, 1685-1750.",Aria from the Suite no. 3 in D major for cello and piano ,"International Music Company, New York City, ."," Score and part in paper sleeve. Very good condition. No bowmarkings. Bach, J.S. ; [edited by] Leonard Rose.",1280573,B3 2tet ARI BWV 1068
1094,"Bach, Johann Sebastian, 1685-1750.",Arioso ,"G. Schirmer, New York, ."," Score only; part is missing.  Otherwise good condition. ""The sinfonia from Bach's cantata BWV 156; originally for orchestra."" Johann Sebastian Bach ; for violin or violoncello and piano ; transcribed by Sam Franko.",48241012,B3 2tet ARIO BWV 156
591,"Bach, Johann Sebastian, 1685-1750.",Arioso for violin or violoncello and piano ,"G. Schirmer, Inc., New York, .", Score and part. Aged condition. Paper is yellowed and starting to tear at the crease. Notations and bowmarkings. By Johann Sebastian Bach ; transcribed by Sam Franko.,7933588,B3 2tet ARIO BWV 156
1093,"Bach, Johann Sebastian, 1685-1750.",Arioso from Cantata no. 156 : cello solo with piano ,"Carl Fischer, New York, ."," Score and part. Very good condition, no bowmarkings. Johann Sebastian Bach ; arranged by Merle J. Isaac. ""Originally for oboe, strings, and continuo.""",12654786,B3 2tet ARIO BWV 156
1124,"Bach, Johann Sebastian, 1685-1750.",Christmas choral prelude ,"Volkwein Bros., Pittsburgh, Pa., ."," Conductor score only; string parts are missing. Score is in good aged condition. Paper is yellowed. Joh. Seb. Bach ; arr. By Harvey Gaul. Originally a chorale from Weihnachts-Oratorium (BWV 248, no. 12)",2366610,B3 ENS BWV 248
299,"Bach, Johann Sebastian, 1685-1750.","Complete suites for unaccompanied cello ; and, Sonatas for viola da gamba : from the Bach-Gesellschaft edition ","Dover Publications, New York, .", 102 pages of music. Excellent condition. No bowmarkings.,17325302,B3 SOLO SUI BWV 1007-1012 D68
525,"Bach, Johann Sebastian, 1685-1750.",Concerto no. 1 in G major : (after Vivaldi) ,"International Music Company, New York City, ."," Score and part. Excellent condition. No bowmarkings. Based on concerto by Johann Ernst, Duke of Saxe-Weimar, erroneously attributed to Vivaldi. Bach, J.S. ; transcribed for cello and piano by Gregor Piatigorsky.",625566,B3 2tet CON G-Maj
311,"Bach, Johann Sebastian, 1685-1750.","Drei Gambensonaten, Viola da gamba (Violoncello) und Cembalo, BWV 1027-1029 = Three gamba sonatas, BWV 1027-1029 : edition for viola da gamba (violoncello) and harpsichord ","G. Henle Verlag, München, .", Score and two part. Good condition. Some tearing of the cover at the binding. No bowmarkings. Herausgegeben von Ernst-Günter Heinemann ; Fingersatz von Klaus Schilde ; Fingersatz und Strichbezeichnung der Gambenstimme von Rainer Zipperling ; Fingersatz und Strichbezeichnung der Violoncellostimme von Claus Kanngiesser.,46384370,B3 2tet SON BWV 1027-1029 H46
106,"Bach, Johann Sebastian, 1685-1750.",Drei Sonaten für Viola da gamba oder Violoncello und Klavier ,"C. F. Peters, Frankfurt, ."," Piano score and part. Very good condition. Herausgegeben von Friedrich Grützmacher. Other title: Sonaten, Violoncello und Klavier",2124906,B3 2tet SON BWV 1027-1029 P48
145,"Bach, Johann Sebastian, 1685-1750.",Drei Sonaten für Violoncello und Cembalo nach BWV 1027-1029 = Three sonatas for violoncello and harpsichord according to BWV 1027-1029 ,"Bärenreiter, Kassel, ."," Score and part. Excellent condition. Originally for viola da gamba and harpsichord./ ""Separate edition taken from: Johann Sebastian Bach, Neue Ausgabe sämtlicher Werke ... Series VI, Volume 4, Drei Sonaten für Viola da gamba und Cembalo (BA 5063)""--Title page verso./ Pref. in German and English.",15811809,B3 2tet SON BWV 1027-1029 B37
36,"Bach, Johann Sebastian, 1685-1750.","Four preludes and fugues : for violin, viola, and cello ","International Music Company, New York City, 1950.", Three parts in paper sleeve. Excellent condition. Some bowmarkings in cello part.,5463140,Actually a Mozart piece/ wrote variations on Bach/ Needs to be recataloged
49,"Bach, Johann Sebastian, 1685-1750.","Inventions, harpsichord, BWV 787-801; arranged","International Music Company, New York City, .", Three parts in paper sleeve. Excellent condition.,51513862,B3 SOLO INV BWV 787-801
1169,"Bach, Johann Sebastian, 1685-1750.",Keyboard music ,"Dover Publications, , ."," 312 pages of music. Good condition. ""Unabridged republication of Johann Sebastian Bach's Clavier-werke, v. 13/2 and v. 3, originally published by the Bach-Gesellschaft, Leipzig, in 1863 and 1853, respectively.""--Title page verso.",627511,B3 SOLO Keyb D68
805,"Bach, Johann Sebastian, 1685-1750.","Konzert C moll für Violine und Oboe, oder für zwei Violinen, mit Klavierbegleitung ","C.F. Peters, Leipzig, ."," Score and two parts; Violin I part is missing (a photocopy is filed with this item). Good aged condition. Paper is yellowing, but pages are in good shape. Arr. for violin and oboe (or 2 violins) and piano. Von J.S. Bach ; bearbeitet von Max Seiffert.",1867312,B3 3tet CON C-Min
1195,"Bach, Johann Sebastian, 1685-1750.",Lento from suite #3 in d. Colin Hampton,", .", Photocopies of four cello parts. No originals. Appears to be self-published by Colin Hampton. Bach; arranged for four cellos by Colin Hampton.,,B3 4tet LEN BWV 1012
312,"Bach, Johann Sebastian, 1685-1750.",Partita in d minor : BWV 1004 : for violin solo : arranged for 'cello ,"MusiCelli Publications, San Francisco, CA, .", 16 pages. Good condition. Arranged for 'cello by Laszlo Varga.,9172414,B3 SOLO PAR BWV 1004
313,"Bach, Johann Sebastian, 1685-1750.",Partita in E major : BWV 1006 : for violin solo : arranged for 'cello ,"MusiCelli Publications, San Francisco, CA, .", 10 pages. Good condition. Arranged for 'cello by Laszlo Varga.,9152769,B3 SOLO PAR BWV 1006
459,"Bach, Johann Sebastian, 1685-1750.",Pastorale (from Pastorale in F major for organ) for cello and piano ,"International Music Company, New York City, .", Score and part in paper sleeve. Poor condition. Cello part is heavy bowmarked and tattered at the edges. Cover is stained from old tape repairs and is tearing at the crease. [transcribed by Marie] Roemaet-Rosanoff.,8233667,B3 2tet  PAS BWV 590
431,"Bach, Johann Sebastian, 1685-1750.",Prelude and fugue = Präludium und Fuge : violoncello & piano ,"Boosey & Hawks Music Publishers Ltd., , ."," Score and part. Excellent condition. No bowmarkings. Transcribed from Das Wohltemperirte Klavier, book I, no. VIII (BWV 853), by Z. Kodály.",13481907,B3 2tet PRE BWV 853
306,"Bach, Johann Sebastian, 1685-1750.","Sechs Suiten für Violoncello solo, BWV 1007-1012 = Six suites for violoncello solo, BWV 1007-1012 ","Bärenreiter, Kassel, 1963."," 70 pages. Fair condition. Some tearing and fraying at the binding. Some bowmarkings. Preface in German and English./ ""Kritischer Bericht"": pages 64-70. Herausgegeben von August Wenzinger.",7685623,B3 SOLO SUI BWV 1007-1012 B37
307,"Bach, Johann Sebastian, 1685-1750.","Sechs Suiten, Violoncello solo, BWV 1007-1012 = Six suites for violoncello solo, BWV 1007-1012 ","G. Henle Verlag, München, .", Contains two complete versions: unmarked urtext and edition marked-up for performance. Two Versions in paper sleeve. Very good condition.,45608311,B3 SOLO SUI BWV 1007-1012 H46
1260,"Bach, Johann Sebastian, 1685-1750.",Sinfonien/Sinfonias: 15 dreistimmige Inventionen/ 15 Three-Part Inventions,"BWV 787-801. Wien: Ludwid Doblinger (Bernard Herzmansky), 2015."," Printed in Austria. Transcription for String Trio [violin, viola, and cello] by Dmitry Sitkovetsky. Score and three parts. Excellent condition. Unmarked.",,B3 3tet SIN BWV 787-801
567,"Bach, Johann Sebastian, 1685-1750.",Six chorales ,"International Music Company, New York City, ."," Score and part. Excellent condition. Bach, J.S. ; transcribed for cello and piano by Pierre Fournier.",19519546,B3 2tet  CHO BWV 659
308,"Bach, Johann Sebastian, 1685-1750.",Six suites (S. 1007-1012) for violoncello solo : with facsimile of the autograph manuscript ,"International Music Company, New York City, .", 87 pages. Very good condition. [edited by] Edmund Kurtz.,10934052,B3 SOLO SUI BWV 1007-1012 I5
300,"Bach, Johann Sebastian, 1685-1750.",Six suites :pour violoncelle ,"Editions Max Eschig, Paris, .", 41 pages of music. Excellent condition. No bowmarkings. Nouvelle edition entièrement révisée par Paul Bazelaire.,17546204,B3 SOLO SUI BWV 1007-1012 M39
295,"Bach, Johann Sebastian, 1685-1750.",Six suites :pour violoncelle seul ,"Éditions Salabert, Paris, ."," 84 pages of music. Aged condition. Front cover is missing. Paper is yellowing. Preface in English, French, and German./ Includes facsims. Of the manuscript copy of the suites in the hand of Anna Magdalena Bach.",21451919,B3 SOLO SUI BWV 1007-1012 S25
298,"Bach, Johann Sebastian, 1685-1750.",Six suites for cello solo ,"International Music Company, New York City, .", 43 pages. Very poor condition. Cover is shredded and torn completely at crease. Paper is brittle and held together with an old tape repair. Heavy bowmarkings. [edited by] Hugo Becker.,1188407,B3 SOLO SUI BWV 1007-1012 I5
304,"Bach, Johann Sebastian, 1685-1750.",Six suites for cello solo ,"International Music Company, New York City, .", 39 pages. Fair condition. Coffee stains on cover. Some bow markings. [edited by] (Pierre Fournier).,2025801,B3 SOLO SUI BWV 1007-1012 I5
301,"Bach, Johann Sebastian, 1685-1750.",Six suites for solo cello ,"Stainer & Bell, London, .", 66 pages. Excellent condition. Newly edited by Paul Tortelier ; assisted by Frieder Lenz.,10863534,B3 SOLO SUI BWV 1007-1012 S73
296,"Bach, Johann Sebastian, 1685-1750.",Six suites for unaccompanied violoncello,"Peer International Corp, New York, .", 53 pages. Used Condition. Cover is separated from pages and is tearing at the crease. Edited by Janos Starker. Preface by Janos Starker.,942341,B3 SOLO SUI BWV 1007-1012 P44
297,"Bach, Johann Sebastian, 1685-1750.",Six suites for violoncello solo. ,"G. Schirmer, Inc., New York, .", 53 page booklet. Good condition. Minor bowmarkings. Revised and edited by Frits Gaillard. Schirmer's library of musical classics v. 1565.,942338,B3 SOLO SUI BWV 1007-1012 S35
855,"Bach, Johann Sebastian, 1685-1750.","Sonata aus dem ""Musikalischen Opfer"" : (1747) : für Flöte, Violine und Continuo (Cembal oder Klavier, Violoncello) ","C.F. Peters, Frankfurt, .", Score and three parts. Excellent condition. Joh. Seb. Bach ; mit der Generalbass-Aussetzung von Joh. Philipp Kirnberger ; herausgegeben von Friedrich Hermann.,20223472,B3 3tet  SON BWV 1079/8
856,"Bach, Johann Sebastian, 1685-1750.","Sonata in C minor : (from the ""Musical offering"") : for flute, violin, and piano (or two violins and piano) ","International Music Company, New York, .", Score and two parts. Excellent condition. J.S. Bach ; [Edited by F.] Hermann.,3680685,B3 3tet SON BWV 1079/8
960,"Bach, Johann Sebastian, 1685-1750.","Sonate für Oboe (Flöte), Cembalo und Viola da Gamba (ad lib.), g-Moll ","C.F. Peters, Frankfurt, .", Photocopies of score and parts in file folder. No originals. Johann Sebastian Bach ; zum ersten Mal herausgegeben von Raymond Meylan. Pref. in English and German.,5503536,B3 3tet SON BWV 1030b
302,"Bach, Johann Sebastian, 1685-1750.",Suite no. 1 [-no. 6] for violoncello solo :BWV 1007 [-1012] ,"Vandersall Editions, , ."," Six volumes (not bound together). Good condition. Light bowmarkings in some. Duplicate copy of Suite 3 included (making 7 total). Sole Selling Agent: Joseph Boonin, Inc. 831 Main Street, Hackensack, N.J. 07601.",233023016,B3 SOLO SUI BWV 1007-1012 V36
185,"Bach, Johann Sebastian, 1685-1750.",Three sonatas for violoncello and piano :(originally composed for viola da gamba) ,"Peer International Corporation, New York, .", Part and Score. Excellent condition. No bowmarkings. Edited by Janos Starker and Gyorgy Sebok.,17709830,B3 2tet SON BWV 1027-1029 P44
42,"Bach, Johann Sebastian, 1685-1750.",Twenty duets for violin and cello,"Boosey & Hawkes Inc., New York, 1963.", One score in paper sleeve. Good condition.,5620711,B3 2tet Twen B66
39,"Bach, Johann Sebastian, 1685-1750.",Two fugues : (from the Art of fugue) ,"Hinrichsen Edition, London, 1953.", Three parts in paper sleeve.,6804805,B3 3tet FUG
32,"Bach, Johann Sebastian, 1685-1750.","Two preludes and fugues for violin, viola, and cello","International Music Company, New York, .", Three parts in paper sleeve.,12917246,B3 3tet PRE Two I5
875,"Barati, George, 1913-1996.","Quartet for harpsichord, flute (and alto flute), oboe (English horn), double bass (or violoncello) ","C.F. Peters, New York, .", Four parts. Very good condition. Includes short biographical sketch of composer.,18063179,B37 4tet
108,"Barber, Samuel, 1910-1981","Sonata for violoncello and piano, op. 6 ","G. Schirmer, Inc., New York, 1936."," Piano score and cello part. Cello part appears to be of a prior printing from the same publisher. Used condition. Cello part is tearing at the fold and across the first page. Heavy bowmarkings, yellowing paper.",13614691,B373 2tet SON op. 6
526,"Barber, Samuel, 1910-1981.",Concerto for violoncello and orchestra :[arranged for] violoncello and piano : [op. 22] ,"G. Schirmer, Inc., New York, .", Score and part. Very good condition. No bowmarkings. Some yellowing on the cover at the edges and crease. Samuel Barber ; [violoncello part edited by Raya Garbousova].,944938,B373 2tet CON op. 22
838,"Barber, Samuel, 1910-1981.",Dover beach : for medium voice and string quartet ,"G. Schirmer, , .", Set of four string parts in paper sleeve. Very good condition. Photocopy of score is filed with this item. By Samuel Barber ; to the poem of Matthew Arnold.,15717417,B373 5tet Dove
964,"Barber, Samuel, 1910-1981.",Dover beach : for medium voice and string quartet [op. 3] ,"G. Schirmer, New York, ."," Photocopies of score in file folder. No originals. ""The poem by Matthew Arnold set to music; also printed as text: p. [2].""",15717129,B373 5tet Dove
192,"Barber, Samuel, 1910-1981.","Sonata for violoncello and piano, op. 6 ","G. Schirmer, Inc., New York, .", Score and part in paper sleeve. Poor condition. Paper sleeve half gone. Falling apart at fold binding in both score and part. Part has heavy bowmarkings.,13614691,B373 2tet SON op. 6
672,"Barber, Samuel, 1910-1981.","String quartet, op. 11 ","G. Schirmer, Inc., , .", 16 page score. Excellent condition. Distributed by Hal Leonard,50812732,B373 4tet op. 11
963,"Barber, Samuel, 1910-1981.","String quartet, op. 11 ","G. Schirmer, Inc., New York, .", Photocopies of parts in file folder. No originals.,1085012,B373 4tet op. 11
61,"Barber, Samuel, 1910-1981.","String quartet, op. 11","G. Schirmer, Inc., New York, 1943.", Five parts in paper sleeve (extra cello part). Excellent condition.,1085012,B373 4tet op. 11
956,"Bargiel, Woldemar, 1828-1897.","Oktett, C moll. Op. 15a, 4 violinen, 2 Bratsche, 2 Violoncell","Breitkopf & Härtel, Leipzig, .", Photocopies of score and parts in file folder. No originals.,23069123,B374 8tet op. 15a
179,"Barrière, Jean, 1707-1747.",12 [Douze] sonates :pour violoncelle et piano ,"Éditions Salabert / Collection Maurice Senart, Paris, ."," Score and part in paper sleeve. Fair condition. Sleeve has torn completely at the fold. Part in good condition, though paper is quite aged. Révision et réalisation de la basse de Marg. Chaigneau et W. Morse Rummel.",2583798,B377 2tet SON
26,"Bartók, Béla, 1881-1945.",18 Duos: from 44 Duos for 2 Violins,"Boosey & Hawkes, Inc., New York, 1958.", Arranged for 2 Violoncelli by Walter Kurz. Good condition. No bowmarkings.,,B378 2tet Eigh
891,"Bartók, Béla, 1881-1945.","Contrasts : for violin, clarinet, and pianoforte ","Boosey & Hawkes, London, .", Piano score and three parts. Very good condition. No bowmarkings. Includes clarinet parts in A (original) and B♭.,1463154,B378 3tet Cont
982,"Bartók, Béla, 1881-1945.",First rhapsody : (Folk dances) : violin and piano ,"Boosey & Hawkes, London, .", Photocopy of score stored in file folder. No originals. Violin part is missing.,2703425,B378 2tet RHA
349,"Bartók, Béla, 1881-1945.",First rhapsody :Folk dances = Danses populaires = Volkstänze : violoncello and piano ,"Boosey & Hawkes, Ltd., London, .", Score and part. Very good condition. Some yellowing/aging of the cover.,3751408,B378 2tet RHA
757,"Bartók, Béla, 1881-1945.","Quintetto per 2 violini, viola, violoncello e pianoforte ","Editio Musica, Budapest, ."," Score and parts. Very good condition.  Photocopies of all parts are filed with this item. Pref. in Hungarian, German, and English. Bartók Béla ; a cura di Denijs Dille.",245599,B378 5tet M87
